"col_names" "description"
"1" "_1_enters_uk" NA
"2" "_1_fup" NA
"3" "_10_enters_uk" NA
"4" "_10_fup" NA
"5" "_2_enters_uk" NA
"6" "_2_fup" NA
"7" "_3_enters_uk" NA
"8" "_3_fup" NA
"9" "_4_enters_uk" NA
"10" "_4_fup" NA
"11" "_5_enters_uk" NA
"12" "_5_fup" NA
"13" "_6_enters_uk" NA
"14" "_6_fup" NA
"15" "_7_enters_uk" NA
"16" "_7_fup" NA
"17" "_8_enters_uk" NA
"18" "_8_fup" NA
"19" "_9_enters_uk" NA
"20" "_9_fup" NA
"21" "_mi_miss" NA
"22" "active" "active TB"
"23" "active_pulm" "Active pulmonary disease - smear or culture positive"
"24" "age" NA
"25" "age_at_entry" NA
"26" "age_at_screen" "Age at entry to the cohort"
"27" "age_group1" "Age at screening, categorised by 5 year groups"
"28" "age_group2" "Age group, categorised into 4 groups"
"29" "agegp" "RECODE of age"
"30" "agegp2" "UKTB agegroup"
"31" "agegp3" "RECODE of age"
"32" "ager" NA
"33" "any_culture" "Culture testing performed"
"34" "birthyr" NA
"35" "cert" "certificate issued"
"36" "clinical" "clinical confirmed TB"
"37" "clustered2" NA
"38" "cohort_end" "Date of end of cohort"
"39" "cohort_end_1yr" "1 year follow up"
"40" "cohort_end_dups" NA
"41" "cohort_end_visa" "Date for end of follow up in cohort based on visa type assumptions"
"42" "consp" "Conclusion of Screening Process"
"43" "count" NA
"44" "cresb2" "culture result b2"
"45" "culture_pos" "Culture positive TB"
"46" "cxr" "chest x ray"
"47" "cxrdt" "chest x-ray date"
"48" "cxrint" "cxr interpretation"
"49" "cxrintdt" "chest x-ray interpretation date"
"50" "cxrndr" "CXR Not Done Reason"
"51" "cxrukres" "Results of CXR"
"52" "days_between_screens" NA
"53" "dob" "date of birth"
"54" "dst2" NA
"55" "dta1" "date a1"
"56" "dta2" "date a2"
"57" "dta3" "date a3"
"58" "dtb1" "date b1"
"59" "dtb2" "date b2"
"60" "dtb3" "date b3"
"61" "dup_ETS" NA
"62" "dup_ETS2" NA
"63" "dup_less365" NA
"64" "dup_less365_10" NA
"65" "dup_less365_10n" NA
"66" "dup_ref_id" NA
"67" "dup_ref_id_orig" NA
"68" "duplicates_refid" NA
"69" "duplicates_refid_dob" NA
"70" "enters_uk" NA
"71" "exammth" "month examined"
"72" "examyr" "Year of examination"
"73" "exclude_dup" NA
"74" "exdt" "exam date"
"75" "expdt" "expiry date"
"76" "famcont" "family contact with infectious tb case"
"77" "first_screen" "Date of first IOM screening examination"
